Name,Formulations,Class,Condition,Dose,Notes,MOA,Warnings,Cost,Color,CommonlyUsed
Latanoprost  0.005%,ophthalmic solution,"Topical Glaucoma/Ocular hypotensives,Miotic","Primary Glaucoma,Posterior Lens Luxation",BID,"* Most valuable for treatment of primary glaucoma (less so for secondary)
* Can also be used specifically as a miotic agent for posterior lens luxations
* Can be used in an ""acute"" glaucoma spikes in place of mannitol; multiple doses can be given with reasonable time period (30-60 min) while monitoring IOP; usually works within 1-2 hours post-administration (again confirm that case is a primary glaucoma)","* Prostaglandin analogue
* In essence, mimics inflammation which increases unconventional outflow of aqueous humor and decreases production
* Potent miosis in veterinary species due to binding of prostaglandin receptors in iris sphincter m. --> use contraindicated in secondary glaucoma from uveitis; can easily predispose to worsening glaucoma from with pupillary block","* Avoid use where posterior synechia or pupillary block glaucoma (anterior lens luxation) is a high risk 
* Comes in a tiny bottle (2.5 mL) which can run out quickly and frustrate owners or worse, cause them to stop and then not refill; caution owners and script out more bottles if necessary to prevent interruptions in therapy",$-$$,Teal,Common
Travaprost 0.004%,ophthalmic solution,"Topical Glaucoma/Ocular hypotensives,Miotic","Primary Glaucoma,Posterior Lens Luxation",BID,"* Essentially equivalent to latanoprost but more expensive
* Most valuable for treatment of primary glaucoma (less so for secondary)
* Can also be used specifically as a miotic agent for posterior lens luxations
* Can be used in an ""acute"" glaucoma spikes in place of mannitol; multiple doses can be given with reasonable time period (30-60 min) while monitoring IOP; usually works within 1-2 hours post-administration (again confirm that case is a primary glaucoma)","* Prostaglandin analogue
* In essence, mimics inflammation which increases unconventional outflow of aqueous humor and decreases production
* Potent miosis in veterinary species due to binding of prostaglandin receptors in iris sphincter m. --> use contraindicated in secondary glaucoma from uveitis; can easily predispose to worsening glaucoma from with pupillary block","* Avoid use where posterior synechia or pupillary block glaucoma (anterior lens luxation) is a high risk 
* Comes in a tiny bottle (2.5 mL) which can run out quickly and frustrate owners or worse, cause them to stop and then not refill; caution owners and script out more bottles if necessary to prevent interruptions in therapy",$$-$$$,Teal,Uncommon
Bimatoprost 0.03%,ophthalmic solution,"Topical Glaucoma/Ocular hypotensives,Miotic","Primary Glaucoma,Posterior Lens Luxation",BID,"* Used by ophthalmologist as an anecdotal ""rescue"" drug when maximum glaucoma therapy is not sufficient to keep IOP controlled (see MOA for differences in biochemistry)
* Most valuable for treatment of primary glaucoma (less so for secondary)
* Can also be used specifically as a miotic agent for posterior lens luxations
* Can be used in an ""acute"" glaucoma spikes in place of mannitol; multiple doses can be given with reasonable time period (30-60 min) while monitoring IOP; usually works within 1-2 hours post-administration (again confirm that case is a primary glaucoma)","* Prostaglandin analogue
* In essence, mimics inflammation which increases unconventional outflow of aqueous humor and decreases production
* Bimatoprost is unique among prostaglandin analogues because it does not have to be enzymatically converted to an active form like latanoprost - thus is postulated to work better 
* Potent miosis in veterinary species due to binding of prostaglandin receptors in iris sphincter m. --> use contraindicated in secondary glaucoma from uveitis; can easily predispose to worsening glaucoma from with pupillary block","* Avoid use where posterior synechia or pupillary block glaucoma (anterior lens luxation) is a high risk 
* Comes in a tiny bottle (2.5 mL) which can run out quickly and frustrate owners or worse, cause them to stop and then not refill; caution owners and script out more bottles if necessary to prevent interruptions in therapy",$$-$$$,Teal,Uncommon
Dorzolamide/Timolol,ophthalmic solution,Topical Glaucoma/Ocular hypotensives,"Primary Glaucoma,Secondary Glaucoma,Anterior lens luxation,Posterior Lens Luxation",BID-TID,"* Combination of two glaucoma medications into one drop
* Safe for use in both primary and secondary glaucomas
* Commonly referred to by its trade name ""Cosopt"" (pronounced KO-sopt)
* When given together, dosing of the Dorzolamide (usually TID) can be reduced to a BID dosing schedule
* Comes out as a very viscous and thick eyedrop
* Can sometimes be topically irritating (especially if there's an ulcer present)","* Dorzolamide : Carbonic anhydrase inhibitor (CAI)
** Carbonic anhydrase is an enzyme that catalyzes conversion of water to bicarb (HCO3-) and hydrogen ions (H+)
* Inhibition of this process leads to lowered concentrations bicarb that then lower sodium and water outflow (aqueous humor production)
* Timolol: Non-selective beta blocker
** Precise mechanism is unknown but suspected to involve cAMP","* Most side effects probably originate from the Dorzolamide
* Can sting after applications due to viscosity and acidity
* Idiosyncratic keratitis has been reported in patients on long-term use with dorzolamide (median time in report was about a year of continued use)
* Dogs with the CAI reaction exhibit marked ulcerative/non-ulcerative corneal neovascularization that was poorly responsive to topical anti-inflammatories
* Clinical signs improved within a few days after halting administration of CAI",$-$$,DarkBlue,Common
5% Sodium Chloride,ophthalmic solution,Hyperosmotics,"Endothelial Dystrophy/Degeneratoion,Bullous keratopathy",q6-24h,"* Essentially concentrated saline ointment
* Used for treatment of bullous keratopathy and endothelial degeneration/dystrophy
* Can also be used in some cases of persistent ulcers where bulla formation is a concern","* Osmotically draws fluid from corneal stroma hopefully reducing bulla formation
* Will __not__ be sufficient to clear up corneal edema (set owner's expectations accordingly)","* Can sting after application
* If poorly tolerated, reduce frequency/dose
* Ointment is preferred over solution given longer residence time on corneal surface",$-$$,,Common
Atropine 1%,"ophthalmic solution,ophthalmic ointment",Mydriatic,"Uveitis,Simple corneal ulcer,Melting corneal ulcer,Infected Ulcer,Indolent ulcer,Stromal ulcer",q12-48h,"* Cycloplegic for pain from ciliary body spasm that can occur from uveitis or ulcerative keratitis
* Mydriasis is handy for use in uveitis as prevention of miosis is useful to prevent secondary glaucoma from posterior synechiae and helps improve vision if miosis is otherwise severe (especially in horses)
* In an uninflamed eye, effect can last for 5-6 days in dogs and cats and potentially weeks in horses
* The author will usually dose SID, BID, to EOD depending on degree of uveitis, pain","* Nonselective anticholinergic (parasympatholytic)
* Blocks receptors at smooth muscle","* Aggressive use is discouraged in cases of dry eye or if secondary glaucoma is a concern
* Parasympatholytic activity reduces tear production
* Cycloplegia can affect the iridocorneal angle and cause increases in IOP
* Hypersalivation can be noted if medication is licked from nose (after traveling through nasolacrimal duct) or if travels to mouth, anecdotally ointments may lessen this effect",$-$$,Red,Common
Tropicamide 1%,ophthalmic solution,Mydriatic,"Uveitis,Diagnostic agent","once, q6-12h","*  A ""weaker"" mydriatic which is most often used for dilated fundic exam but can also be used more frequently for dilation and to keep the pupil moving with uveitis
* Mydriasis usually occurs within 15-30 min and effects last for a few hours post-dilation","* Nonselective anticholinergic (parasympatholytic)
* Blocks receptors at smooth muscle",* Relatively well tolerated especially if given just for diagnostic purposes,$-$$,Red,Common
"Phenylephrine 1%, 2.5%",ophthalmic solution,Mydriatic,"Horner's syndrome,Diagnostic agent",once,"* Primarily used as a diagnostic agent to confirm Horner's syndrome
* To assess for denervation hypersensitivity - place a drop in both eyes and observe for improvement in clinical signs (ptosis, enophthalmia) within 15-60 minutes
* More detailed guidelines with regards to concentration and timeframe to expected response that correlate with first, second, third order lesions exist but are beyond the scope of this site
* Expect blanching of conjunctiva with use","* Direct acting sympathomimetic
* In absence of sympathetic innervation (Horner's) receptors are up-regulated leading to a stronger reaction to exogenous sympathetic drugs",* Relatively well tolerated,$$-$$$,Red,Uncommon
Fluorescein,ophthalmic solution,Diagnostic dye,Diagnostic agent,once,"* Ubiquitous use for diagnosis of a corneal ulcer
* Also used to test for tear film quality: __tear film break up time [TBUT]__
* Also used to test for nasolacrimal abnormalities: __Jones Test__, positive if stain noted at nostril
* Also used to test for aqueous leakage: __Seidel Test__; strip of stain is painted over area, if green rivulet is noted, positive Seidel, consistent with aqueous leakage/perforation","* Stain is hydrophilic, will bind to hydrophilic tissue (corneal stroma) but not to hydrophobic tissue (epithelium, Descemet's membrane)","* Can be irritating if applied in concentrated form to the cornea (e.g. applying strip directly to cornea)
* Dilute with saline and place drop in eye or touch to conjunctiva",$,,Common
Proparacaine 0.5%,ophthalmic solution,Topical Anesthetic,Diagnostic agent,once,"* Used as rapid-acting topical anesthetic to the cornea/conjunctiva
* One drop is sufficient to obtain local analgesia for 10-15 minutes; a 2005 study showed greater effect and longer duration (30min) with 2 drops given 1 minute apart
* Recommend to be stored refrigerated as efficacy wanes over time after 2 weeks of storage at room temperature
* In cats, reported maximal effect is quite short at 5 minutes compared to other species",* Sodium channel blocker - affects propagation of signaling through nerves,"* Short duration of action in cats
* Is less likely to cause topical irritation compared to tetracaine and lidocaine but still possible
* Not appropriate for routine analgesia ""at-home"" treatment (effects are too short lived, rapid tachyphylaxis, and delayed wound healing with repeated use)",$$,,Common
